"","Acroneuria sp1 FW_011","Aelosoma sp1 FW_011","Alloperla sp1 FW_011","Anepeorus sp1 FW_011","Antocha saxicola","Baetis","Boyeria vinosa","Brook trout","Bryophaenocladius sp1 FW_011","Cambarus bartonii","Chauliodes sp1 FW_011","Chimarra atterima","Conchapelopia sp1 FW_011","Cryptolabis sp1 FW_011","Cyrnellus sp1 FW_011","Dicrotendipes sp1 FW_011","Diplectrona modesta","Ectopria nervosa","Endochironomous sp1 FW_011","Ephemerella sp1 FW_011","Eukieferiella pseudomontana","Eukiefferiella 'dark' type","Glossosoma sp1 FW_011","Gyraulus sp1 FW_011","Haploperla brevis","Hexatoma sp1 FW_011","Hydrophilidae","Hydropsyche sp1 FW_011arana","Larsia sp1 FW_011","Leucrocuta sp1 FW_011","Leuctra sp1 FW_011","Metriocnemus sp1 FW_011","Micrasema sp1 FW_011","Notropis heterolepsis","Ochthebius sp1 FW_011","Ophiogomphus sp1 FW_011","Orcnocetes virilis","Paraleptophlebia sp1 FW_011","Paranyctiophylax sp1 FW_011","Polycentropus sp1 FW_011","Probezzia sp1 FW_011","Promoresia sp1 FW_011","Psephenus sp1 FW_011","Pseudolimnolphila sp1 FW_011","Rhinichthys cataractae","Rhyacophila sp1 FW_011","Simulium sp1 FW_011","Sphaerium occidentale","Stempelinella sp1 FW_011","Stenelmis crenata","Stenelmis sp1 FW_011","Suwalia sp1 FW_011","Tallaperla sp1 FW_011","Tanytarsus Genus A","Tricorythodes sp1 FW_011","Unidentified sp6 FW_011","Unidentified sp7 FW_011"
"Achnanthes lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aelosoma sp1 FW_011",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Baetis",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Batrachospermum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryophaenocladius sp1 FW_011",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calothrix sp1 FW_011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chauliodes sp1 FW_011",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chimarra atterima",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cocconeis placentula",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Conchapelopia sp1 FW_011",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
