type;sub-type;source;target;weight;isSpecial;isLikely
NEU;EJ;ADAR;ADAL;1;0;0
NEU;EJ;ADFL;ADAL;1;0;0
NEU;EJ;ASHL;ADAL;1;0;0
NEU;EJ;AVDR;ADAL;2;0;0
NEU;EJ;PVQL;ADAL;1;0;0
NEU;Sp;ADEL;ADAL;1;0;0
NEU;Sp;ADFL;ADAL;1;0;0
NEU;Sp;AIAL;ADAL;1;0;0
NEU;R;AIBL;ADAL;1;0;0
NEU;Rp;AIBR;ADAL;2;0;0
NEU;Sp;ASHL;ADAL;1;0;0
NEU;Rp;AVAR;ADAL;2;0;0
NEU;Rp;AVBL;ADAL;4;0;0
NEU;R;AVBR;ADAL;2;0;0
NEU;Rp;AVBR;ADAL;5;0;0
NEU;Rp;AVDL;ADAL;1;0;0
NEU;Rp;AVEL;ADAL;1;0;0
NEU;Rp;AVJR;ADAL;5;0;0
NEU;S;AWAL;ADAL;1;0;0
NEU;Rp;FLPR;ADAL;1;0;0
NEU;Sp;PVPL;ADAL;1;0;0
NEU;Sp;PVR;ADAL;1;0;0
NEU;R;RICL;ADAL;1;0;0
NEU;Rp;RICL;ADAL;1;0;0
NEU;Rp;RICR;ADAL;1;0;0
NEU;Rp;RIML;ADAL;3;0;0
NEU;Rp;RIPL;ADAL;1;0;0
NEU;Sp;RMGL;ADAL;1;0;0
NEU;R;SMDVR;ADAL;2;0;0
NEU;EJ;ADAL;ADAR;1;0;0
NEU;EJ;ADFR;ADAR;1;0;0
NEU;EJ;ASHR;ADAR;1;0;0
NEU;EJ;AVDL;ADAR;2;0;0
NEU;EJ;PVQR;ADAR;1;0;0
NEU;Sp;ADER;ADAR;1;0;0
NEU;Sp;ADFR;ADAR;1;0;0
NEU;Sp;AIAR;ADAR;1;0;0
NEU;Rp;AIBL;ADAR;1;0;0
NEU;Rp;AIBR;ADAR;1;0;0
NEU;Sp;ASHR;ADAR;2;0;0
NEU;Rp;AVAL;ADAR;1;0;0
NEU;R;AVBL;ADAR;1;0;0
NEU;Rp;AVBL;ADAR;1;0;0
NEU;Rp;AVBR;ADAR;5;0;0
NEU;Rp;AVEL;ADAR;1;0;0
NEU;R;AVJL;ADAR;1;0;0
