neuronName neuronClass neuronID neuronFunction neuronDescription
ADAR ADA WBbt:0004011 Unknown head_neuron|ADA|embryonic_cell
ADAL ADA WBbt:0004013 Unknown head_neuron|ADA|embryonic_cell
ADFL ADF WBbt:0004003 Known lateral_ganglion_left_neuron|ADF|head_neuron|embryonic_cell
ASHL ASH WBbt:0003890 Known lateral_ganglion_left_neuron|ASH|head_neuron|embryonic_cell
AVDR AVD WBbt:0003865 Known lateral_ganglion_right_neuron|head_neuron|AVD|embryonic_cell
PVQL PVQ WBbt:0004076 Known lumbar_left_ganglion_neuron|PVQ
ADEL ADE WBbt:0004009 Known ADE|head_neuron|embryonic_cell
AIAL AIA WBbt:0003989 Known head_neuron|AIA|embryonic_cell
AIBL AIB WBbt:0003985 Known lateral_ganglion_left_neuron|head_neuron|AIB|embryonic_cell
AIBR AIB WBbt:0003984 Known lateral_ganglion_right_neuron|head_neuron|AIB|embryonic_cell
AVAR AVA WBbt:0003869 Known lateral_ganglion_right_neuron|AVA|head_neuron|embryonic_cell
AVBL AVB WBbt:0003868 Known lateral_ganglion_left_neuron|AVB|head_neuron|embryonic_cell
AVBR AVB WBbt:0003867 Known lateral_ganglion_right_neuron|AVB|head_neuron|embryonic_cell
AVDL AVD WBbt:0003866 Known lateral_ganglion_left_neuron|head_neuron|AVD|embryonic_cell
AVEL AVE WBbt:0003864 Known lateral_ganglion_left_neuron|head_neuron|AVE|embryonic_cell
AVJR AVJ WBbt:0003846 Unknown lateral_ganglion_right_neuron|head_neuron|AVJ|embryonic_cell
AWAL AWA WBbt:0003831 Known lateral_ganglion_left_neuron|AWA|head_neuron
FLPR FLP WBbt:0004797 Known head_neuron|FLP
PVPL PVP WBbt:0004082 Known PVP
PVR PVR WBbt:0004072 Known interneuron|lumbar_right_ganglion_neuron|nerve_ring_neuron
RICL RIC WBbt:0003941 Known lateral_ganglion_left_neuron|head_neuron|RIC
RICR RIC WBbt:0003940 Known lateral_ganglion_right_neuron|head_neuron|RIC
RIML RIM WBbt:0003926 Known lateral_ganglion_left_neuron|RIM|head_neuron
RIPL RIP WBbt:0005051 Known head_neuron|RIP|embryonic_cell
RMGL RMG WBbt:0005017 Known head_neuron|RMG
SMDVR SMD WBbt:0004969 Known lateral_ganglion_right_neuron|SMD|head_neuron
ADFR ADF WBbt:0003999 Known lateral_ganglion_right_neuron|ADF|head_neuron|embryonic_cell
ASHR ASH WBbt:0003889 Known lateral_ganglion_right_neuron|ASH|head_neuron|embryonic_cell
PVQR PVQ WBbt:0004074 Known lumbar_right_ganglion_neuron|PVQ
ADER ADE WBbt:0004007 Known ADE|head_neuron|embryonic_cell
AIAR AIA WBbt:0003987 Known head_neuron|AIA|embryonic_cell
AVAL AVA WBbt:0003870 Known lateral_ganglion_left_neuron|AVA|head_neuron
AVJL AVJ WBbt:0003847 Unknown lateral_ganglion_left_neuron|head_neuron|AVJ|embryonic_cell
RIMR RIM WBbt:0005053 Known lateral_ganglion_right_neuron|RIM|head_neuron
RIPR RIP WBbt:0005049 Known head_neuron|RIP|embryonic_cell
RIVR RIV WBbt:0005041 Known lateral_ganglion_right_neuron|head_neuron|RIV
RMGR RMG WBbt:0005013 Known head_neuron|RMG
SMDVL SMD WBbt:0004970 Known lateral_ganglion_left_neuron|SMD
URBR URB WBbt:0004930 Unknown head_neuron|URB
AINL AIN WBbt:0003967 Unknown lateral_ganglion_left_neuron|head_neuron|AIN|embryonic_cell
AVKR AVK WBbt:0003844 Unknown head_neuron|AVK|embryonic_cell
ALA ALA WBbt:0003955 Known neuron|head_neuron|embryonic_cell
AVL AVL WBbt:0003843 Known interneuron|GABAergic_neuron|motor_neuron|head_neuron|nerve_ring_neuron
BDUL BDU WBbt:0003812 Known BDU|embryonic_cell
CEPDL CEP WBbt:0004938 Known CEP|head_neuron|embryonic_cell
FLPL FLP WBbt:0004798 Known head_neuron|FLP
IL1L IL1 WBbt:0004553 Known IL1_neuron|head_neuron
IL2L IL2 WBbt:0004541 Known IL2_neuron|head_neuron
OLLL OLL WBbt:0004445 Known head_neuron|OLL
RIAL RIA WBbt:0003960 Known lateral_ganglion_left_neuron|head_neuron|RIA
RIFL RIF WBbt:0003936 Unknown retrovesicular_ganglion_neuron|RIF
RIGL RIG WBbt:0003932 Unknown retrovesicular_ganglion_neuron|RIG
RIGR RIG WBbt:0003930 Unknown retrovesicular_ganglion_neuron|RIG
RIH RIH WBbt:0003928 Unknown interneuron|head_neuron|serotonergic_neuron|nerve_ring_neuron|embryonic_cell
RIVL RIV WBbt:0005043 Known lateral_ganglion_left_neuron|head_neuron|RIV
RMDL RMD WBbt:0005037 Known lateral_ganglion_left_neuron|RMD|head_neuron|embryonic_cell
RMHL RMH WBbt:0005011 Unknown head_neuron|RMH
SMBDR SMB WBbt:0004975 Known SMB|head_neuron|embryonic_cell
URBL URB WBbt:0004932 Unknown head_neuron|URB
AVKL AVK WBbt:0003845 Unknown head_neuron|AVK|embryonic_cell
ALNR ALN WBbt:0003937 Known lumbar_right_ganglion_neuron|ALN
AVER AVE WBbt:0003863 Known lateral_ganglion_right_neuron|head_neuron|AVE|embryonic_cell
AVM AVM WBbt:0003832 Known touch_receptor_neuron
BDUR BDU WBbt:0003811 Known BDU|embryonic_cell
CEPDR CEP WBbt:0004937 Known CEP|head_neuron|embryonic_cell
IL2R IL2 WBbt:0004539 Known IL2_neuron|head_neuron
OLLR OLL WBbt:0004444 Known head_neuron|OLL
RMDR RMD WBbt:0005033 Known lateral_ganglion_right_neuron|RMD|head_neuron|embryonic_cell
SAAVR SAA WBbt:0005001 Unknown lateral_ganglion_right_neuron|SAA|head_neuron
AIZL AIZ WBbt:0003959 Known lateral_ganglion_left_neuron|AIZ|head_neuron|embryonic_cell
AUAL AUA WBbt:0003872 Known lateral_ganglion_left_neuron|head_neuron|AUA|embryonic_cell
AWBL AWB WBbt:0003829 Known lateral_ganglion_left_neuron|AWB|head_neuron
OLQVL OLQ WBbt:0004437 Known head_neuron|OLQ
RIR RIR WBbt:0005047 Unknown interneuron|head_neuron|nerve_ring_neuron|embryonic_cell
SMBVL SMB WBbt:0004974 Known SMB|head_neuron|embryonic_cell
AIYR AIY WBbt:0003961 Known AIY|head_neuron|embryonic_cell
AIZR AIZ WBbt:0003957 Known lateral_ganglion_right_neuron|AIZ|head_neuron|embryonic_cell
ASEL ASE WBbt:0003904 Known lateral_ganglion_left_neuron|ASE|head_neuron|embryonic_cell
AUAR AUA WBbt:0003871 Known lateral_ganglion_right_neuron|head_neuron|AUA|embryonic_cell
AVHL AVH WBbt:0003849 Unknown lateral_ganglion_left_neuron|head_neuron|AVH|embryonic_cell
AWAR AWA WBbt:0003830 Known lateral_ganglion_right_neuron|AWA|head_neuron
AWBR AWB WBbt:0003828 Known lateral_ganglion_right_neuron|AWB|head_neuron
PVPR PVP WBbt:0004078 Known PVP
RIAR RIA WBbt:0003958 Known lateral_ganglion_right_neuron|head_neuron|RIA
SMBVR SMB WBbt:0004973 Known SMB|head_neuron|embryonic_cell
URXR URX WBbt:0004926 Known head_neuron|URX
ADLR ADL WBbt:0003995 Known lateral_ganglion_right_neuron|ADL|head_neuron|embryonic_cell
ADLL ADL WBbt:0003997 Known lateral_ganglion_left_neuron|ADL|head_neuron|embryonic_cell
ASER ASE WBbt:0003903 Known lateral_ganglion_right_neuron|ASE|head_neuron|embryonic_cell
AVHR AVH WBbt:0003848 Unknown lateral_ganglion_right_neuron|head_neuron|AVH|embryonic_cell
CEPVL CEP WBbt:0004933 Known CEP|head_neuron|embryonic_cell
SDQR SDQ WBbt:0004991 Known SDQ
AWCR AWC WBbt:0003826 Known lateral_ganglion_right_neuron|AWC|head_neuron
PVCL PVC WBbt:0004094 Known lumbar_left_ganglion_neuron|PVC
AFDR AFD WBbt:0003991 Known lateral_ganglion_right_neuron|AFD|head_neuron|embryonic_cell
AFDL AFD WBbt:0003993 Known lateral_ganglion_left_neuron|AFD|head_neuron|embryonic_cell
AINR AIN WBbt:0003965 Unknown lateral_ganglion_right_neuron|head_neuron|AIN|embryonic_cell
AIYL AIY WBbt:0003963 Known AIY|head_neuron|embryonic_cell
ASIL ASI WBbt:0003888 Known lateral_ganglion_left_neuron|ASI|head_neuron|embryonic_cell
AIML AIM WBbt:0003983 Known head_neuron|AIM|embryonic_cell
ASGL ASG WBbt:0003892 Known lateral_ganglion_left_neuron|ASG|head_neuron|embryonic_cell
ASIR ASI WBbt:0003887 Known lateral_ganglion_right_neuron|ASI|head_neuron|embryonic_cell
ASKL ASK WBbt:0003884 Known lateral_ganglion_left_neuron|ASK|head_neuron|embryonic_cell
AWCL AWC WBbt:0003827 Known lateral_ganglion_left_neuron|AWC|head_neuron
HSNL HSN WBbt:0004758 Known HSN
AIMR AIM WBbt:0003969 Known head_neuron|AIM|embryonic_cell
ASGR ASG WBbt:0003891 Known lateral_ganglion_right_neuron|ASG|head_neuron|embryonic_cell
ASKR ASK WBbt:0003883 Known lateral_ganglion_right_neuron|ASK|head_neuron|embryonic_cell
RIFR RIF WBbt:0003934 Unknown retrovesicular_ganglion_neuron|RIF
DVC DVC WBbt:0004821 Known interneuron|dorsal-rectal_ganglion_neuron|nerve_ring_neuron
PVT PVT WBbt:0004070 Known interneuron|preanal_ganglion_neuron|nerve_ring_neuron
BAGL BAG WBbt:0003824 Known head_neuron|BAG|embryonic_cell
HSNR HSN WBbt:0004757 Known HSN
RIBR RIB WBbt:0003942 Unknown lateral_ganglion_right_neuron|RIB|head_neuron
SAADL SAA WBbt:0005007 Unknown SAA|head_neuron|embryonic_cell
SAADR SAA WBbt:0005005 Unknown SAA|head_neuron|embryonic_cell
SAAVL SAA WBbt:0005003 Unknown lateral_ganglion_left_neuron|SAA|head_neuron
SMDDR SMD WBbt:0004971 Known SMD|head_neuron|embryonic_cell
RIS RIS WBbt:0005045 Unknown interneuron|GABAergic_neuron|head_neuron|nerve_ring_neuron|embryonic_cell
RIBL RIB WBbt:0003956 Unknown lateral_ganglion_left_neuron|RIB|head_neuron
SDQL SDQ WBbt:0004993 Known posterior_lateral_left_ganglion|SDQ
SMDDL SMD WBbt:0004972 Known SMD|head_neuron|embryonic_cell
AVFL AVF WBbt:0005657 Unknown AVF|retrovesicular_ganglion_neuron
AVFR AVF WBbt:0005658 Unknown AVF|retrovesicular_ganglion_neuron
ASJR ASJ WBbt:0003885 Known lateral_ganglion_right_neuron|ASJ|head_neuron|embryonic_cell
OLQDR OLQ WBbt:0004438 Known head_neuron|OLQ
PVNR PVN WBbt:0004083 Unknown lumbar_right_ganglion_neuron|PVN
BAGR BAG WBbt:0003823 Known head_neuron|BAG|embryonic_cell
RID RID WBbt:0003938 Unknown interneuron|motor_neuron|head_neuron
DVA DVA WBbt:0004823 Known interneuron|dorsal-rectal_ganglion_neuron|nerve_ring_neuron
SMBDL SMB WBbt:0004976 Known SMB|head_neuron|embryonic_cell
PVCR PVC WBbt:0004092 Known lumbar_right_ganglion_neuron|PVC
RMDDR RMD WBbt:0005038 Known RMD|head_neuron|embryonic_cell
CEPVR CEP WBbt:0004931 Known CEP|head_neuron|embryonic_cell
RMDDL RMD WBbt:0005039 Known RMD|head_neuron|embryonic_cell
ALNL ALN WBbt:0003939 Known lumbar_left_ganglion_neuron|ALN
RMHR RMH WBbt:0005009 Unknown head_neuron|RMH
AQR AQR WBbt:0003927 Known head_neuron|ciliated_neuron|nerve_ring_neuron|oxygen_sensory_neuron
URXL URX WBbt:0004928 Known head_neuron|URX
DVB DVB WBbt:0004822 Known interneuron|GABAergic_neuron|motor_neuron|dorsal-rectal_ganglion_neuron
AS10 AS WBbt:0003906 Unknown ventral_cord_neuron|AS_neuron
PDB PDB WBbt:0004385 Known motor_neuron|preanal_ganglion_neuron
AS11 AS WBbt:0003905 Unknown AS_neuron|preanal_ganglion_neuron
VA12 VA WBbt:0004645 Known VA_neuron|preanal_ganglion_neuron
VD13 VD WBbt:0004585 Known VD_neuron|preanal_ganglion_neuron
ASJL ASJ WBbt:0003886 Known lateral_ganglion_left_neuron|ASJ|head_neuron|embryonic_cell
IL2DL IL2 WBbt:0004545 Known IL2_neuron|head_neuron
LUAL LUA WBbt:0004493 Known lumbar_left_ganglion_neuron|LUA
SABD SAB WBbt:0004999 Unknown SAB|retrovesicular_ganglion_neuron
SABVR SAB WBbt:0004997 Unknown SAB|retrovesicular_ganglion_neuron
URYDL URY WBbt:0004924 Known URY|head_neuron
URYVR URY WBbt:0004906 Known URY|head_neuron
VA10 VA WBbt:0004649 Known ventral_cord_neuron|VA_neuron
VA11 VA WBbt:0004647 Known ventral_cord_neuron|VA_neuron
LUAR LUA WBbt:0004491 Known lumbar_right_ganglion_neuron|LUA
PHBL PHB WBbt:0004364 Known lumbar_left_ganglion_neuron|PHB
PHBR PHB WBbt:0005659 Known lumbar_right_ganglion_neuron|PHB
PHCL PHC WBbt:0004362 Known lumbar_left_ganglion_neuron|PHC
PQR PQR WBbt:0004096 Known lumbar_left_ganglion_neuron|lumbar_right_ganglion_neuron|ciliated_neuron|oxygen_sensory_neuron
PVDL PVD WBbt:0004090 Known posterior_lateral_left_ganglion|PVD
PVDR PVD WBbt:0004088 Known posterior_lateral_right_ganglion|PVD
PVNL PVN WBbt:0004084 Unknown lumbar_left_ganglion_neuron|PVN
SABVL SAB WBbt:0004998 Unknown SAB|retrovesicular_ganglion_neuron
URYDR URY WBbt:0004922 Known URY|head_neuron
URYVL URY WBbt:0004920 Known URY|head_neuron
AVG AVG WBbt:0003850 Known interneuron|retrovesicular_ganglion_neuron
PDEL PDE WBbt:0004383 Known posterior_lateral_left_ganglion|PDE
