# index, name, _pos
0,1,"array([-14.19008481,   3.45547275])"
1,2,"array([-14.36927797,   4.12972743])"
2,3,"array([-26.8302448 ,  11.58677664])"
3,4,"array([-26.29398688,  12.62072327])"
4,5,"array([-27.57575198,  10.06940473])"
5,6,"array([-38.07266347,  -4.9701356 ])"
6,7,"array([-38.72294013,  -4.78293111])"
7,8,"array([-23.05020168,  -5.29499066])"
8,9,"array([-23.69910919,  -5.09227326])"
9,10,"array([-29.64264529,   4.39133447])"
10,11,"array([-29.33899445,   5.58153283])"
11,12,"array([-31.70353863,   6.86103947])"
12,13,"array([-32.14357657,   6.94115514])"
13,14,"array([-32.13237875,   6.44977875])"
14,15,"array([-32.57690471,   7.08113331])"
15,16,"array([-32.19462179,   7.43029348])"
16,17,"array([-29.29850622,   4.00158753])"
17,18,"array([-30.46398564,   3.19756466])"
18,19,"array([-30.78408645,   1.23320146])"
19,20,"array([-29.75013433,   2.72947628])"
20,21,"array([-30.11120772,   2.46674885])"
21,22,"array([-31.37944256,   3.07403162])"
22,23,"array([-29.87076932,   4.76202633])"
23,24,"array([-30.44657657,   4.1992117 ])"
24,25,"array([-30.86341028,   2.0540345 ])"
25,26,"array([-32.26338928,   1.30896273])"
26,27,"array([-28.88861144,   1.9430951 ])"
27,28,"array([-31.302026  ,   4.22399138])"
28,29,"array([-31.79213903,   4.138087  ])"
29,30,"array([-30.07787304,   4.01826556])"
30,31,"array([-31.31582992,   1.82215222])"
31,32,"array([-30.45836108,   1.71194341])"
32,33,"array([-29.41451606,   3.31363743])"
33,34,"array([-29.72689787,   5.27670227])"
34,35,"array([-32.03172672,   1.93061743])"
35,36,"array([-24.33743864,  -0.8139609 ])"
36,37,"array([-25.50751683,  -0.44674174])"
37,38,"array([-24.74504813,  -1.29613517])"
38,39,"array([-24.63753727,  -0.17710448])"
39,40,"array([-25.83077916,  -1.30697083])"
40,41,"array([-25.26798626,  -1.67329563])"
41,42,"array([-26.99462056,   1.22150799])"
42,43,"array([-15.69245066,   2.26964619])"
43,44,"array([-16.23901237,   2.70010553])"
44,45,"array([-41.46683865,  -0.65429948])"
45,46,"array([-42.1290081,  -0.8738754])"
46,47,"array([-29.95539327,  -2.82881865])"
47,48,"array([-29.79192304,  -1.60074925])"
48,49,"array([-29.24165485,  -2.69623877])"
49,50,"array([-3.08985404e+01,  9.88174384e-03])"
50,51,"array([-32.75780665,  -7.88287047])"
51,52,"array([-33.38330153,  -7.50987704])"
52,53,"array([-34.0013607 ,  -7.14312633])"
53,54,"array([-17.17752005,  12.38742643])"
54,55,"array([-16.94816314,  13.04698506])"
55,56,"array([-30.44135194,   4.87422986])"
56,57,"array([-29.90886557,   5.70486243])"
57,58,"array([-30.96074444,   6.04373872])"
58,59,"array([-26.77811577,  -6.80782729])"
59,60,"array([-27.45637601,  -7.13280479])"
60,61,"array([-28.23215483,  -7.46500905])"
61,62,"array([-29.89984649,  11.52933044])"
62,63,"array([-29.34533941,  12.90354824])"
