# source, target, connectivity
0,2,2
0,4,1
0,6,2
0,17,1
1,3,1
1,4,1
1,7,1
1,8,1
2,0,10
2,3,3
2,6,3
2,7,1
2,8,3
2,19,1
3,1,6
3,2,3
3,5,7
3,6,1
3,7,4
3,8,2
3,19,1
4,0,3
4,1,1
4,6,1
4,7,12
4,8,8
4,9,2
4,17,2
5,2,13
5,3,20
5,6,7
5,8,1
5,9,8
5,10,1
5,13,5
5,17,1
5,18,1
5,19,3
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,8,2
6,9,2
6,10,3
6,13,1
6,14,1
7,0,1
7,2,2
7,3,3
7,4,1
7,18,1
7,19,4
8,1,1
8,2,1
8,3,3
8,4,2
8,6,3
8,14,1
8,17,7
9,0,3
9,1,1
9,4,2
9,5,5
9,6,4
9,13,1
9,17,3
10,1,3
10,3,2
10,17,2
11,0,8
11,1,1
11,4,2
11,5,6
11,6,4
11,7,10
11,9,3
11,10,2
11,13,1
11,17,2
11,18,21
12,0,2
12,1,6
12,2,3
12,3,2
12,4,2
12,5,22
12,6,2
12,9,1
12,10,1
12,17,2
12,18,1
12,19,24
13,2,4
13,3,3
13,4,2
13,6,19
13,7,15
13,8,1
13,12,2
13,13,15
13,18,13
14,6,2
14,8,1
15,0,2
15,1,3
15,3,1
15,4,1
15,13,1
15,17,3
16,0,2
16,1,4
16,4,2
17,0,2
17,1,1
17,4,1
17,5,1
17,6,4
17,8,6
18,0,3
18,1,1
18,2,14
18,3,34
18,5,8
18,6,1
18,7,24
18,8,2
18,11,1
18,17,1
19,1,2
19,2,24
19,3,7
19,4,2
19,5,15
19,6,5
19,7,23
19,10,1
19,17,2
19,18,7
20,0,2
20,1,2
20,3,1
21,8,1
22,8,1
23,1,2
24,0,7
24,2,1
24,8,1
24,212,4
25,1,5
25,3,1
25,213,6
26,0,1
26,1,1
26,3,2
26,4,2
26,5,1
26,8,1
26,9,3
26,10,3
26,11,17
26,12,6
26,17,2
26,19,3
27,0,2
27,2,2
27,3,1
27,9,9
27,11,6
27,17,1
27,18,2
28,1,2
28,10,3
28,12,1
28,13,1
28,17,7
29,1,2
29,2,1
29,4,4
29,7,13
29,8,3
29,9,2
29,11,4
29,13,69
29,17,5
29,18,38
29,19,9
30,2,2
30,3,1
30,5,11
30,6,4
30,9,21
30,11,2
30,13,50
30,14,1
30,18,63
30,19,1
31,1,1
31,2,1
31,3,4
31,5,2
31,6,14
31,10,12
31,13,72
31,14,3
31,18,8
31,19,53
32,14,2
33,6,1
33,14,2
34,14,2
35,14,3
36,14,2
37,16,6
37,212,2
38,15,7
38,16,4
38,213,1
39,15,13
39,16,11
40,14,4
41,8,3
42,2,1
42,8,1
43,3,1
44,7,2
44,8,5
44,13,46
45,6,9
45,9,8
45,13,43
45,14,3
46,6,6
46,10,3
46,12,3
46,13,49
46,14,1
47,13,3
47,14,2
48,14,1
49,7,2
49,12,1
49,18,88
49,19,72
50,55,2
50,66,1
50,67,2
50,76,1
50,133,11
51,67,2
51,98,1
51,144,2
51,185,1
52,60,1
52,68,1
52,135,2
52,143,4
52,151,3
52,152,1
52,236,1
53,136,4
53,150,4
53,438,2
54,58,2
54,72,1
54,141,14
54,151,1
55,50,2
55,51,1
55,61,1
55,63,1
55,69,2
55,71,1
55,142,1
55,144,4
55,148,1
55,152,4
55,438,3
56,50,3
56,54,1
56,72,2
56,134,1
56,135,8
56,143,1
56,236,1
57,51,3
57,55,1
57,59,1
57,66,1
57,67,3
57,69,1
57,116,2
57,133,1
57,136,6
57,142,2
57,144,5
58,54,9
58,60,1
58,62,2
58,64,4
58,71,1
58,72,3
58,163,1
58,438,5
58,439,2
59,55,3
59,63,4
59,77,2
59,140,1
59,142,1
59,156,2
59,162,3
59,438,3
60,51,2
60,54,7
60,58,1
60,61,3
60,64,1
60,65,1
60,67,8
60,72,1
60,133,1
60,134,1
60,142,2
60,143,5
60,147,4
61,50,8
61,51,2
61,55,5
61,57,3
61,59,1
61,60,2
61,64,1
61,65,4
61,66,1
61,67,5
61,68,4
61,69,1
61,72,12
61,73,2
61,134,3
61,141,1
61,142,4
61,143,10
61,144,5
61,148,2
61,152,2
62,50,1
62,58,25
62,70,6
62,76,1
62,140,1
62,143,2
62,145,1
62,147,1
62,174,1
62,212,3
63,55,9
63,59,7
63,60,1
63,63,1
63,67,1
63,71,3
63,74,1
63,77,4
63,136,2
63,137,3
63,140,4
63,142,1
63,148,1
63,162,5
63,165,2
63,198,2
63,213,1
64,54,7
64,61,2
64,62,1
64,64,1
64,65,1
64,66,2
64,113,2
64,134,9
64,141,2
64,147,1
65,55,23
65,60,3
65,61,3
65,63,1
65,133,10
65,134,3
65,140,1
65,142,1
65,175,1
66,50,3
66,51,2
66,58,1
66,60,16
66,61,1
66,67,17
66,72,2
66,118,1
66,134,2
66,141,5
66,143,1
66,144,6
67,50,4
67,51,5
67,60,11
67,61,1
67,62,2
67,63,1
67,66,11
67,73,7
67,141,3
67,143,6
67,144,6
67,147,2
67,148,2
67,179,1
68,50,3
68,52,12
68,56,2
68,61,1
68,70,1
68,135,7
68,143,9
68,151,12
68,438,3
69,52,1
69,53,12
69,136,4
69,144,1
69,152,6
69,163,1
69,438,2
70,54,2
70,58,2
70,72,6
70,76,1
70,140,1
70,143,1
70,176,1
70,178,1
70,438,3
70,439,4
71,51,2
71,59,2
71,61,2
71,63,6
71,67,1
71,71,2
71,73,4
71,140,1
71,154,2
71,156,6
71,161,1
71,162,1
71,165,2
71,177,1
71,178,3
71,189,1
71,210,2
71,438,1
72,61,4
72,62,1
72,70,6
72,83,1
72,143,1
72,153,2
72,174,2
72,176,1
72,438,1
73,51,1
73,61,1
73,69,3
73,71,13
73,73,3
73,77,3
73,112,1
73,116,3
73,139,2
73,144,10
73,156,1
73,163,3
73,179,1
73,180,2
73,210,2
73,242,2
73,438,1
74,63,6
74,75,3
74,84,8
74,133,5
74,137,2
74,146,1
74,173,8
74,175,2
74,203,1
74,212,7
75,74,1
75,76,2
75,84,5
75,111,1
75,134,9
75,137,5
75,140,1
75,142,1
75,145,3
75,172,3
75,174,3
75,197,2
75,213,2
76,62,1
76,70,2
76,76,3
76,84,5
76,94,1
76,109,3
76,115,2
76,119,2
76,134,2
76,135,1
76,138,26
