# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([ 0.5436958 , -1.18307013])"
1,PHARYNX,,I1R,"array([ 0.5537218 , -1.19699004])"
2,PHARYNX,,I2L,"array([ 0.55742308, -1.2142989 ])"
3,PHARYNX,,I2R,"array([ 0.5717536 , -1.19106298])"
4,PHARYNX,,I3,"array([ 0.56134152, -1.18144025])"
5,PHARYNX,,I4,"array([ 0.59194493, -1.21290808])"
6,PHARYNX,,I5,"array([ 0.60633589, -1.19725389])"
7,PHARYNX,,I6,"array([ 0.57563259, -1.22481964])"
8,PHARYNX,,M1,"array([ 0.52837649, -1.20548861])"
9,PHARYNX,,M2L,"array([ 0.60730587, -1.17640422])"
10,PHARYNX,,M2R,"array([ 0.61444456, -1.23782787])"
11,PHARYNX,,M3L,"array([ 0.59157417, -1.18022907])"
12,PHARYNX,,M3R,"array([ 0.58895229, -1.23825678])"
13,PHARYNX,,M4,"array([ 0.60982592, -1.21071813])"
14,PHARYNX,,M5,"array([ 0.66471935, -1.2050165 ])"
15,PHARYNX,,MCL,"array([ 0.51579543, -1.17897618])"
16,PHARYNX,,MCR,"array([ 0.4809186 , -1.16917828])"
17,PHARYNX,,MI,"array([ 0.57182687, -1.20737598])"
18,PHARYNX,,NSML,"array([ 0.58983459, -1.19897785])"
19,PHARYNX,,NSMR,"array([ 0.59879425, -1.22632095])"
20,PHARYNX,,pm1,"array([ 0.5660154 , -1.13566293])"
21,PHARYNX,,pm2D,"array([ 0.54039915, -1.29516344])"
22,PHARYNX,,pm2VL,"array([ 0.55017849, -1.10713036])"
23,PHARYNX,,pm3D,"array([ 0.60051696, -1.10892975])"
24,PHARYNX,,pm3VL,"array([ 0.44770263, -1.21035417])"
25,PHARYNX,,pm3VR,"array([ 0.43112747, -1.19193435])"
26,PHARYNX,,pm4D,"array([ 0.56019917, -1.23282953])"
27,PHARYNX,,pm4VL,"array([ 0.59407092, -1.1526145 ])"
28,PHARYNX,,pm4VR,"array([ 0.59802062, -1.26514093])"
29,PHARYNX,,pm5D,"array([ 0.57575212, -1.16870468])"
30,PHARYNX,,pm5VL,"array([ 0.63022075, -1.18805664])"
31,PHARYNX,,pm5VR,"array([ 0.62932863, -1.21549336])"
32,PHARYNX,,pm6D,"array([ 0.72121357, -1.14468051])"
33,PHARYNX,,pm6VL,"array([ 0.6874633 , -1.22893265])"
34,PHARYNX,,pm6VR,"array([ 0.74199523, -1.17139961])"
35,PHARYNX,,pm7D,"array([ 0.75846395, -1.20034045])"
36,PHARYNX,,pm7VR,"array([ 0.71937891, -1.26624056])"
37,PHARYNX,,mc2DL,"array([ 0.38419013, -1.16502519])"
38,PHARYNX,,mc2DR,"array([ 0.39845276, -1.18858761])"
39,PHARYNX,,mc2V,"array([ 0.49551564, -1.11939284])"
40,PHARYNX,,mc3V,"array([ 0.74590917, -1.24306383])"
41,PHARYNX,,e3D,"array([ 0.52718327, -1.13043981])"
42,PHARYNX,,e3VL,"array([ 0.52368647, -1.25953515])"
