# source, target, connectivity
2,0,2
3,1,1
4,1,1
5,2,1
8,3,1
8,4,1
9,2,1
9,6,1
10,3,1
10,4,1
10,5,2
10,6,1
11,0,2
12,10,1
13,5,1
13,7,5
13,9,1
13,13,1
14,6,1
14,13,2
14,14,1
15,9,1
16,0,1
16,1,4
16,3,1
16,10,11
17,4,1
17,10,5
18,0,3
19,1,2
19,3,2
19,11,1
19,12,2
19,18,2
21,20,2
22,20,2
23,20,2
24,21,2
25,22,2
26,1,3
26,23,2
27,4,3
27,11,2
27,17,3
27,24,2
28,0,1
28,9,1
28,25,2
29,1,2
29,12,1
29,26,2
30,4,1
30,8,3
30,10,1
30,11,1
30,12,1
30,13,1
30,19,2
30,27,2
31,5,1
31,9,1
31,11,1
31,13,1
31,14,2
31,28,2
32,12,1
32,13,1
32,29,2
33,30,2
34,14,2
34,31,2
35,14,2
35,32,2
39,36,2
39,37,2
39,38,2
40,24,2
40,25,2
40,27,2
40,28,2
41,24,2
41,27,2
41,29,4
42,25,2
42,26,2
42,28,2
42,29,2
43,30,2
43,31,2
43,40,2
44,30,2
44,32,2
44,41,2
45,31,2
45,32,2
46,33,2
46,34,2
46,36,2
46,37,2
46,39,2
46,43,2
47,33,2
47,35,2
47,36,2
47,38,2
47,39,2
47,44,2
48,34,2
48,35,2
48,37,2
48,38,2
48,39,2
52,20,4
52,49,2
52,51,1
53,2,2
53,25,4
53,50,1
54,3,1
54,51,1
55,6,4
55,9,2
55,11,2
55,13,7
56,6,2
56,10,2
56,12,5
56,13,2
58,57,3
60,59,7
62,61,2
64,58,4
65,63,1
66,65,3
67,63,3
68,64,3
68,66,1
70,62,3
70,64,1
70,66,1
71,67,6
71,69,3
72,67,2
72,68,1
72,70,5
72,71,1
73,67,1
73,69,1
74,64,2
74,67,2
74,72,3
76,75,9
76,76,2
77,69,1
77,75,18
78,72,4
78,76,2
78,77,7
79,61,1
80,64,1
80,76,1
80,79,6
82,81,1
90,89,2
94,90,2
95,93,7
95,94,16
96,96,1
98,88,1
99,89,1
100,99,6
101,89,1
101,90,1
101,96,1
103,102,3
105,86,2
105,96,1
105,100,4
106,96,11
106,97,2
106,98,4
106,101,3
107,96,8
107,97,3
107,98,2
107,101,6
107,103,1
107,106,25
108,87,1
109,88,6
109,108,7
110,87,1
111,110,17
112,87,2
112,108,1
113,109,1
113,111,1
