# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([1.88373603, 6.18576111])"
1,PHARYNX,,I1R,"array([1.79347078, 5.98449075])"
2,PHARYNX,,I2L,"array([1.63796767, 6.17706843])"
3,PHARYNX,,I2R,"array([1.59136458, 5.93684635])"
4,PHARYNX,,I3,"array([1.50846986, 5.99386774])"
5,PHARYNX,,I4,"array([1.43559335, 6.23391129])"
6,PHARYNX,,I5,"array([1.33084213, 6.32992404])"
7,PHARYNX,,I6,"array([1.16287142, 6.48073785])"
8,PHARYNX,,M1,"array([1.40986199, 5.90546814])"
9,PHARYNX,,M2L,"array([1.45154379, 6.30174861])"
10,PHARYNX,,M2R,"array([1.46080936, 6.12575956])"
11,PHARYNX,,M3L,"array([1.51407108, 6.18378326])"
12,PHARYNX,,M3R,"array([1.37676  , 6.1262298])"
13,PHARYNX,,M4,"array([1.26994052, 6.29365549])"
14,PHARYNX,,M5,"array([1.1299382 , 6.26643059])"
15,PHARYNX,,MCL,"array([1.43604839, 6.51156917])"
16,PHARYNX,,MCR,"array([1.70107994, 6.07256444])"
17,PHARYNX,,MI,"array([1.39061318, 6.03349539])"
18,PHARYNX,,NSML,"array([1.75022546, 6.20524891])"
19,PHARYNX,,NSMR,"array([1.58425586, 6.09037414])"
20,PHARYNX,,pm1,"array([1.24729711, 5.50985007])"
21,PHARYNX,,pm2D,"array([1.12516748, 5.61628783])"
22,PHARYNX,,pm2VL,"array([1.30458912, 5.64204827])"
23,PHARYNX,,pm2VR,"array([1.42095176, 5.59922027])"
24,PHARYNX,,pm3D,"array([1.18935741, 5.80114117])"
25,PHARYNX,,pm3VL,"array([1.44340221, 5.81648698])"
26,PHARYNX,,pm3VR,"array([1.57893982, 5.79719238])"
27,PHARYNX,,pm4D,"array([1.32385244, 5.97857708])"
28,PHARYNX,,pm4VL,"array([1.51303131, 6.06453231])"
29,PHARYNX,,pm4VR,"array([1.44581441, 5.97403634])"
30,PHARYNX,,pm5D,"array([1.30990589, 6.07825606])"
31,PHARYNX,,pm5VL,"array([1.27968083, 6.19612169])"
32,PHARYNX,,pm5VR,"array([1.19851489, 6.1604753 ])"
33,PHARYNX,,pm6D,"array([1.02354257, 6.03184457])"
34,PHARYNX,,pm6VL,"array([1.01791937, 6.17992954])"
35,PHARYNX,,pm6VR,"array([0.97444143, 6.2518149 ])"
36,PHARYNX,,pm7D,"array([0.77153078, 6.00284355])"
37,PHARYNX,,pm7VL,"array([0.69615788, 6.09368388])"
38,PHARYNX,,pm7VR,"array([0.71450778, 6.21942091])"
39,PHARYNX,,pm8,"array([0.76888922, 6.11555668])"
40,PHARYNX,,mc1DL,"array([1.30354029, 5.89504641])"
41,PHARYNX,,mc1DR,"array([1.2094554 , 5.93200291])"
42,PHARYNX,,mc1V,"array([1.5128265 , 5.87136109])"
43,PHARYNX,,mc2DL,"array([1.14801451, 6.0213698 ])"
44,PHARYNX,,mc2DR,"array([1.09744741, 6.08269733])"
45,PHARYNX,,mc2V,"array([1.15775521, 6.33721836])"
46,PHARYNX,,mc3DL,"array([0.89805683, 6.04140054])"
47,PHARYNX,,mc3DR,"array([0.88302386, 6.1264932 ])"
48,PHARYNX,,mc3V,"array([0.82065582, 6.21827243])"
49,PHARYNX,,e2D,"array([1.1472553 , 5.21213517])"
50,PHARYNX,,e2VL,"array([1.73263544, 5.73283208])"
51,PHARYNX,,e2VR,"array([1.39825213, 5.44179644])"
52,PHARYNX,,e3D,"array([1.24505201, 5.34379478])"
53,PHARYNX,,e3VL,"array([1.65954149, 5.89655861])"
54,PHARYNX,,e3VR,"array([1.51897381, 5.65100464])"
55,PHARYNX,,g1AL,"array([1.41011552, 6.37912319])"
56,PHARYNX,,g1AR,"array([1.34967372, 6.24315154])"
57,SENSORY NEURONS,,ASIL,"array([2.91103829, 6.97643739])"
58,SENSORY NEURONS,,ASIR,"array([3.0925378 , 7.08043463])"
59,SENSORY NEURONS,,ASJL,"array([3.30501698, 6.69442453])"
60,SENSORY NEURONS,,ASJR,"array([3.35936743, 6.95229303])"
61,SENSORY NEURONS,,AWAL,"array([3.15818153, 6.94356097])"
62,SENSORY NEURONS,,AWAR,"array([3.17127377, 7.06406356])"
