# source, target, connectivity
0,2,2
0,4,1
0,6,2
0,17,1
1,3,1
1,4,1
1,7,1
1,8,1
2,0,10
2,3,3
2,6,3
2,7,1
2,8,3
2,19,1
3,1,6
3,2,3
3,5,7
3,6,1
3,7,4
3,8,2
3,19,1
4,0,3
4,1,1
4,6,1
4,7,12
4,8,8
4,9,2
4,17,2
5,2,13
5,3,20
5,6,7
5,8,1
5,9,8
5,10,1
5,13,5
5,17,1
5,18,1
5,19,3
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,8,2
6,9,2
6,10,3
6,13,1
6,14,1
7,0,1
7,2,2
7,3,3
7,4,1
7,18,1
7,19,4
8,1,1
8,2,1
8,3,3
8,4,2
8,6,3
8,14,1
8,17,7
9,0,3
9,1,1
9,4,2
9,5,5
9,6,4
9,13,1
9,17,3
10,1,3
10,3,2
10,17,2
11,0,8
11,1,1
11,4,2
11,5,6
11,6,4
11,7,10
11,9,3
11,10,2
11,13,1
11,17,2
11,18,21
12,0,2
12,1,6
12,2,3
12,3,2
12,4,2
12,5,22
12,6,2
12,9,1
12,10,1
12,17,2
12,18,1
12,19,24
13,2,4
13,3,3
13,4,2
13,6,19
13,7,15
13,8,1
13,12,2
13,13,15
13,18,13
14,6,2
14,8,1
15,0,2
15,1,3
15,3,1
15,4,1
15,13,1
15,17,3
16,0,2
16,1,4
16,4,2
17,0,2
17,1,1
17,4,1
17,5,1
17,6,4
17,8,6
18,0,3
18,1,1
18,2,14
18,3,34
18,5,8
18,6,1
18,7,24
18,8,2
18,11,1
18,17,1
19,1,2
19,2,24
19,3,7
19,4,2
19,5,15
19,6,5
19,7,23
19,10,1
19,17,2
19,18,7
20,0,2
20,1,2
20,3,1
21,8,1
22,8,1
23,1,2
24,0,7
24,2,1
24,8,1
24,212,4
25,1,5
25,3,1
25,213,6
26,0,1
26,1,1
26,3,2
26,4,2
26,5,1
26,8,1
26,9,3
26,10,3
26,11,17
26,12,6
26,17,2
26,19,3
27,0,2
27,2,2
27,3,1
27,9,9
27,11,6
27,17,1
27,18,2
28,1,2
28,10,3
28,12,1
28,13,1
28,17,7
29,1,2
29,2,1
29,4,4
29,7,13
29,8,3
29,9,2
29,11,4
29,13,69
29,17,5
29,18,38
29,19,9
30,2,2
30,3,1
30,5,11
30,6,4
30,9,21
30,11,2
30,13,50
30,14,1
30,18,63
30,19,1
31,1,1
31,2,1
31,3,4
31,5,2
31,6,14
31,10,12
31,13,72
31,14,3
31,18,8
31,19,53
32,14,2
33,6,1
33,14,2
34,14,2
35,14,3
36,14,2
37,16,6
37,212,2
38,15,7
38,16,4
38,213,1
39,15,13
39,16,11
40,14,4
41,8,3
42,2,1
42,8,1
43,3,1
44,7,2
44,8,5
44,13,46
45,6,9
45,9,8
45,13,43
45,14,3
46,6,6
46,10,3
46,12,3
46,13,49
46,14,1
47,13,3
47,14,2
48,14,1
49,7,2
49,12,1
49,18,88
49,19,72
50,54,2
53,136,1
54,62,1
54,147,10
55,63,1
55,65,2
55,142,3
56,50,6
56,72,9
56,135,3
57,51,2
57,63,2
57,73,1
57,136,4
57,144,5
57,179,4
58,54,6
58,141,4
58,162,1
59,55,4
59,63,8
59,142,4
59,163,3
60,54,5
60,56,1
60,66,4
61,73,4
61,74,1
61,142,1
61,144,4
62,54,10
62,58,16
62,70,12
62,145,8
62,147,4
62,162,3
63,55,14
63,59,19
63,140,2
63,142,2
63,146,12
63,148,6
63,163,3
64,50,5
64,54,16
64,134,17
64,141,3
65,51,8
65,55,8
65,61,2
65,63,2
65,74,1
65,133,7
65,142,10
66,50,8
66,60,18
66,143,25
66,439,3
67,51,1
67,116,1
67,440,1
68,52,13
68,60,4
68,66,2
68,70,1
68,72,1
68,135,5
68,151,2
69,51,4
69,53,1
69,71,2
69,136,8
69,144,2
69,152,13
70,68,5
70,72,4
71,69,2
71,73,11
71,144,1
71,152,5
71,163,2
72,70,3
73,55,3
73,61,2
73,144,12
73,148,8
73,163,3
73,165,1
74,84,3
74,133,8
74,137,2
74,146,3
74,173,10
74,175,5
74,440,9
76,113,3
76,225,5
77,116,8
77,136,1
77,146,1
78,174,4
78,176,4
78,477,2
79,239,1
80,174,3
80,176,1
80,241,4
80,477,4
81,175,4
81,242,14
81,464,1
81,470,1
82,83,4
82,240,18
82,248,4
83,83,10
83,228,1
83,239,18
83,247,4
84,92,1
84,94,5
84,165,2
84,441,1
84,442,2
85,103,1
85,160,4
85,161,14
85,166,4
85,168,2
85,170,7
85,189,1
85,192,1
85,207,1
85,446,4
85,453,14
85,454,6
85,469,3
85,477,6
85,494,4
85,496,13
86,157,2
86,189,2
86,441,3
87,83,13
87,84,2
87,158,2
87,177,2
87,192,2
88,162,1
88,189,5
89,89,3
89,99,2
89,100,1
89,187,1
90,295,3
90,304,1
90,305,1
91,464,1
92,83,14
92,93,2
93,83,2
93,92,5
93,93,3
93,179,5
94,83,25
94,84,1
94,89,8
94,90,9
94,91,19
94,94,2
94,96,5
94,97,2
94,99,22
94,100,23
94,102,11
94,137,1
94,140,2
94,147,1
94,159,1
94,162,2
94,179,1
94,186,2
94,210,1
94,305,1
94,446,25
95,96,2
95,150,75
95,161,1
95,164,1
95,168,1
95,211,2
95,493,1
95,498,1
96,95,10
96,150,75
96,169,5
96,188,1
96,211,1
96,446,5
96,495,1
97,84,4
97,94,1
97,98,4
98,97,2
98,174,1
99,89,2
99,90,16
99,91,18
99,94,2
99,100,2
99,187,1
99,446,3
100,89,3
100,90,19
100,91,10
100,100,2
100,186,1
100,295,1
100,304,1
101,102,4
101,103,10
101,160,2
101,454,12
101,462,4
101,469,1
101,470,2
101,501,2
102,101,18
102,104,7
102,446,2
102,462,1
102,477,1
103,101,1
103,104,5
103,454,10
103,481,2
103,485,1
103,503,2
103,515,1
104,102,20
104,103,7
104,279,6
104,454,4
104,466,1
104,477,16
104,481,4
104,515,1
105,101,26
105,102,2
105,103,13
105,104,6
105,105,2
105,106,11
105,169,1
105,443,1
105,447,6
105,449,99
105,454,15
105,457,19
105,458,19
105,461,1
105,468,2
105,471,47
105,473,33
105,474,7
105,475,26
105,476,14
105,481,134
105,482,25
105,483,4
105,485,17
105,486,2
105,496,3
105,515,1
106,102,6
106,104,2
106,105,17
106,169,1
106,279,1
