# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([1.8558384 , 3.24934516])"
1,PHARYNX,,I1R,"array([1.86812548, 3.22570125])"
2,PHARYNX,,I2L,"array([1.82424323, 3.24459055])"
3,PHARYNX,,I2R,"array([1.84101458, 3.24004824])"
4,PHARYNX,,I3,"array([1.85031121, 3.22748851])"
5,PHARYNX,,I4,"array([1.80512267, 3.2055614 ])"
6,PHARYNX,,I5,"array([1.79261936, 3.21464885])"
7,PHARYNX,,I6,"array([1.85235306, 3.19222796])"
8,PHARYNX,,M1,"array([1.79809445, 3.24080828])"
9,PHARYNX,,M2L,"array([1.80736389, 3.22674399])"
10,PHARYNX,,M2R,"array([1.81885106, 3.17059902])"
11,PHARYNX,,M3L,"array([1.82342548, 3.22784716])"
12,PHARYNX,,M3R,"array([1.83615084, 3.18197578])"
13,PHARYNX,,M4,"array([1.80672477, 3.18843147])"
14,PHARYNX,,M5,"array([1.72580997, 3.17769192])"
15,PHARYNX,,MCL,"array([1.89978127, 3.24601716])"
16,PHARYNX,,MCR,"array([1.9303536 , 3.27576896])"
17,PHARYNX,,MI,"array([1.83968139, 3.21723893])"
18,PHARYNX,,NSML,"array([1.82152274, 3.21075175])"
19,PHARYNX,,NSMR,"array([1.8356788 , 3.19961592])"
20,PHARYNX,,pm1,"array([1.85758067, 3.28573192])"
21,PHARYNX,,pm2D,"array([1.71580927, 3.24543924])"
22,PHARYNX,,pm2VL,"array([1.73909974, 3.30216357])"
23,PHARYNX,,pm3D,"array([1.90762354, 3.15395359])"
24,PHARYNX,,pm3VL,"array([1.92123391, 3.31793446])"
25,PHARYNX,,pm3VR,"array([1.98514287, 3.31156023])"
26,PHARYNX,,pm4D,"array([1.82279058, 3.19416058])"
27,PHARYNX,,pm4VL,"array([1.81466518, 3.26842016])"
28,PHARYNX,,pm4VR,"array([1.86028593, 3.16026597])"
29,PHARYNX,,pm5D,"array([1.86096482, 3.20727868])"
30,PHARYNX,,pm5VL,"array([1.77386608, 3.22186026])"
31,PHARYNX,,pm5VR,"array([1.78564891, 3.19226875])"
32,PHARYNX,,pm6D,"array([1.6548569 , 3.20258338])"
33,PHARYNX,,pm6VL,"array([1.70922651, 3.20662209])"
34,PHARYNX,,pm6VR,"array([1.64437808, 3.1715626 ])"
35,PHARYNX,,pm7D,"array([1.64729462, 3.13634617])"
36,PHARYNX,,pm7VR,"array([1.67784977, 3.15083442])"
37,PHARYNX,,mc2DL,"array([1.99961153, 3.35733216])"
38,PHARYNX,,mc2DR,"array([2.02211491, 3.32314386])"
39,PHARYNX,,mc2V,"array([1.9410014 , 3.22388342])"
40,PHARYNX,,mc3V,"array([1.7058808, 3.103395 ])"
41,PHARYNX,,e3D,"array([1.71757874, 3.27665889])"
42,PHARYNX,,e3VL,"array([1.76601786, 3.27645757])"
43,PHARYNX,,e3VR,"array([1.79988951, 3.31082163])"
44,PHARYNX,,g1p,"array([1.79998952, 3.14908527])"
45,PHARYNX,,g1AL,"array([1.75012849, 3.19672161])"
46,PHARYNX,,g1AR,"array([1.77242964, 3.15847349])"
47,PHARYNX,,g2L,"array([1.74670758, 3.13263259])"
48,PHARYNX,,g2R,"array([1.67472849, 3.11292372])"
49,PHARYNX,,bm,"array([1.83777647, 3.14086364])"
50,SENSOSRY NEURONS,,ASIL,"array([2.23904788, 3.36465249])"
51,SENSOSRY NEURONS,,ASIR,"array([2.32791153, 3.32755093])"
52,SENSOSRY NEURONS,,ASJL,"array([2.20641408, 3.4276038 ])"
53,SENSOSRY NEURONS,,ASJR,"array([2.35304829, 3.42845911])"
54,SENSOSRY NEURONS,,AWAL,"array([2.2237531 , 3.41601319])"
55,SENSOSRY NEURONS,,AWAR,"array([2.272572  , 3.37926752])"
56,SENSOSRY NEURONS,,ASGL,"array([2.24925215, 3.40542447])"
57,SENSOSRY NEURONS,,ASGR,"array([2.3160936 , 3.37900994])"
58,SENSOSRY NEURONS,,AWBL,"array([2.23295403, 3.4585223 ])"
59,SENSOSRY NEURONS,,AWBR,"array([2.25935755, 3.42251574])"
60,SENSOSRY NEURONS,,ASEL,"array([2.23352849, 3.39383458])"
61,SENSOSRY NEURONS,,ASER,"array([2.3159477 , 3.40451367])"
62,SENSOSRY NEURONS,,ADFL,"array([2.25251047, 3.45967576])"
63,SENSOSRY NEURONS,,ADFR,"array([2.26515939, 3.44199469])"
64,SENSOSRY NEURONS,,AFDL,"array([2.19147124, 3.36833371])"
65,SENSOSRY NEURONS,,AFDR,"array([2.28871568, 3.36357667])"
66,SENSOSRY NEURONS,,AWCL,"array([2.25384934, 3.38078012])"
67,SENSOSRY NEURONS,,AWCR,"array([2.2854381 , 3.39181866])"
68,SENSOSRY NEURONS,,ASKL,"array([2.29734633, 3.4138538 ])"
69,SENSOSRY NEURONS,,ASKR,"array([2.36985047, 3.38580931])"
70,SENSOSRY NEURONS,,ASHL,"array([2.31747281, 3.4729274 ])"
71,SENSOSRY NEURONS,,ASHR,"array([2.36565095, 3.44478756])"
72,SENSOSRY NEURONS,,ADLL,"array([2.32656751, 3.49855325])"
73,SENSOSRY NEURONS,,ADLR,"array([2.33246094, 3.44993721])"
74,SENSOSRY NEURONS,,BAGL,"array([2.28465569, 3.44283302])"
75,SENSOSRY NEURONS,,BAGR,"array([2.04411473, 2.6631245 ])"
76,SENSOSRY NEURONS,,URXL,"array([2.11707829, 3.56889832])"
77,SENSOSRY NEURONS,,URXR,"array([2.27427207, 3.45877264])"
78,SENSOSRY NEURONS,,ALNL,"array([2.30460702, 3.55318066])"
79,SENSOSRY NEURONS,,ALNR,"array([2.18802839, 3.59567557])"
80,SENSOSRY NEURONS,,PLNL,"array([2.26798521, 3.57266805])"
81,SENSOSRY NEURONS,,PLNR,"array([2.3398964 , 3.49236709])"
82,SENSOSRY NEURONS,,SDQL,"array([2.20070464, 3.60415027])"
