# index, name, _pos
0,1,"array([4.23205584, 1.78989553])"
1,81,"array([4.16308655, 1.76188759])"
2,2,"array([4.16986365, 1.10702693])"
3,27,"array([4.35698269, 0.92573765])"
4,136,"array([4.0044201 , 1.14748055])"
5,129,"array([4.09388685, 1.27371653])"
6,45,"array([4.15425877, 1.2108123 ])"
7,3,"array([5.66393307, 0.9510886 ])"
8,182,"array([5.72478225, 0.90610314])"
9,171,"array([5.61814987, 0.89093148])"
10,122,"array([5.68022212, 0.84480454])"
11,4,"array([ 4.10143599, -0.17260401])"
12,179,"array([ 4.21081276, -0.0726935 ])"
13,123,"array([ 4.1658525 , -0.14369663])"
14,148,"array([ 4.09416107, -0.09691286])"
15,5,"array([4.80393384, 1.13378803])"
16,170,"array([4.75791036, 1.19974179])"
17,65,"array([4.69992323, 1.21619809])"
18,87,"array([4.97601254, 1.06132408])"
19,101,"array([4.6402795 , 1.13077902])"
20,6,"array([ 4.0055462 , -0.50442156])"
21,178,"array([ 4.06158617, -0.46659751])"
22,60,"array([ 4.01694514, -0.57168962])"
23,105,"array([ 4.09461498, -0.5435259 ])"
24,7,"array([ 4.64741843, -0.46455281])"
25,125,"array([ 4.64678882, -0.37752941])"
26,169,"array([ 4.70329254, -0.35165807])"
27,38,"array([ 4.71933834, -0.45583368])"
28,8,"array([ 4.39182916, -0.21051886])"
29,156,"array([ 4.49339395, -0.12641287])"
30,120,"array([ 4.40967582, -0.14396671])"
31,185,"array([ 4.36696137, -0.06778894])"
32,128,"array([ 4.35553234, -0.32291097])"
33,9,"array([3.93685369, 0.24273026])"
34,113,"array([3.781071  , 0.17202529])"
35,93,"array([4.07814961, 0.20499074])"
36,76,"array([3.86881173, 0.2940295 ])"
37,149,"array([3.87984184, 0.36029213])"
38,58,"array([3.97778764, 0.3648096 ])"
39,10,"array([5.69565303, 0.27680155])"
40,41,"array([5.76248116, 0.28217456])"
41,32,"array([5.68962451, 0.3543471 ])"
42,12,"array([5.757053  , 0.36099895])"
43,11,"array([4.99092734, 0.95113381])"
44,154,"array([4.93510692, 0.87627793])"
45,74,"array([5.03114928, 1.02511988])"
46,13,"array([4.3474681 , 1.00104883])"
47,29,"array([4.26141409, 0.99414027])"
48,51,"array([4.26345873, 0.92095187])"
49,102,"array([4.46399074, 1.08159499])"
50,14,"array([4.49840085, 1.13690645])"
51,85,"array([4.46933554, 1.21665158])"
52,18,"array([4.40770867, 1.17719968])"
53,159,"array([4.55494528, 1.05329484])"
54,15,"array([4.5549523 , 0.42912794])"
55,160,"array([4.4550432 , 0.37085766])"
56,89,"array([4.62792136, 0.45492358])"
57,173,"array([4.63540935, 0.53892459])"
58,145,"array([4.53979872, 0.33177992])"
59,95,"array([4.61868067, 0.24708723])"
60,117,"array([4.56557869, 0.64962499])"
61,131,"array([4.46884594, 0.43508577])"
62,16,"array([5.21450449, 0.49927855])"
63,53,"array([5.18168314, 0.38655586])"
64,164,"array([5.27603204, 0.47950703])"
65,17,"array([ 4.90198621, -0.32152833])"
66,139,"array([ 4.77184482, -0.16663024])"
67,183,"array([ 4.99602406, -0.36552663])"
68,107,"array([ 4.92581751, -0.42657895])"
69,172,"array([ 4.99588654, -0.43679393])"
70,19,"array([4.22304036, 0.55108096])"
71,121,"array([4.33992107, 0.56402841])"
72,92,"array([4.17429033, 0.44719786])"
73,20,"array([ 4.8536375 , -0.04864894])"
74,67,"array([4.85999544, 0.02908039])"
75,99,"array([4.8872344 , 0.11398971])"
76,135,"array([ 4.92602770e+00, -2.40379299e-03])"
77,21,"array([4.52827043, 0.96293165])"
78,180,"array([4.60798499, 0.97265017])"
79,174,"array([4.56225739, 0.87374248])"
80,22,"array([5.6201275 , 1.58180019])"
81,153,"array([5.61376648, 1.66006042])"
82,114,"array([5.68672627, 1.68268833])"
83,147,"array([5.70401774, 1.62079653])"
84,104,"array([5.54248748, 1.46467894])"
85,23,"array([4.12374156, 0.37980712])"
86,25,"array([4.06447868, 0.41268076])"
87,138,"array([4.07199829, 0.32402274])"
88,96,"array([4.17500429, 0.31912696])"
89,24,"array([4.89386194, 0.43330285])"
90,68,"array([4.94243753, 0.4820873 ])"
91,143,"array([4.805103  , 0.50396602])"
92,130,"array([4.9589354 , 0.35623513])"
93,26,"array([3.58480396, 1.03688804])"
94,88,"array([3.64847237, 1.00525282])"
95,42,"array([3.56314757, 0.94668108])"
96,82,"array([3.56483143, 1.14712914])"
97,142,"array([3.62536935, 0.92940834])"
98,134,"array([4.48268682, 0.69338635])"
99,30,"array([4.45520707, 0.77877316])"
100,28,"array([5.0704847 , 1.57845687])"
101,109,"array([5.15001037, 1.58997618])"
102,91,"array([5.08937765, 1.4977346 ])"
103,31,"array([4.55879545, 0.73992067])"
104,177,"array([4.68731893, 0.77569118])"
105,33,"array([5.15205722, 0.18152536])"
106,115,"array([5.23561855, 0.28318104])"
107,46,"array([5.0715957 , 0.18994346])"
108,106,"array([5.00328812, 0.25677718])"
109,37,"array([5.10780784, 0.25878872])"
110,48,"array([5.16498477, 0.02764068])"
111,34,"array([4.58240153, 1.73809495])"
112,110,"array([4.64490013, 1.69465504])"
113,161,"array([4.60379527, 1.63085593])"
114,79,"array([4.54089107, 1.67460224])"
115,35,"array([3.52404776, 0.60551195])"
116,151,"array([3.54976765, 0.70752324])"
117,56,"array([3.49739836, 0.51572726])"
118,36,"array([4.5652768 , 0.24095103])"
119,141,"array([4.6484335 , 0.17168237])"
120,98,"array([4.65560456, 0.37490418])"
121,62,"array([4.4669186 , 0.24544949])"
122,39,"array([4.23561293, 0.20376087])"
123,158,"array([4.35103029, 0.15616617])"
124,176,"array([4.13246239, 0.13912887])"
125,40,"array([4.76836685, 0.78882447])"
126,44,"array([4.82266029, 0.84318041])"
127,184,"array([4.75826021, 0.8666539 ])"
128,73,"array([3.57338799, 0.83462164])"
129,43,"array([ 4.25561697, -0.67257564])"
130,47,"array([ 4.32543627, -0.64746383])"
131,61,"array([ 4.29551561, -0.57996875])"
132,70,"array([ 4.21196335, -0.59798514])"
133,146,"array([5.02716762, 0.02172263])"
134,77,"array([ 5.31355491, -0.08284678])"
135,127,"array([5.06576535, 0.06393719])"
136,49,"array([3.91261574, 1.12731988])"
137,116,"array([3.93808462, 1.21992719])"
138,64,"array([3.87459108, 1.18934131])"
139,50,"array([4.61348043, 0.12829775])"
140,63,"array([4.38741723, 0.05567795])"
141,94,"array([4.7004886 , 0.09368135])"
142,72,"array([4.6272824 , 0.06184716])"
143,52,"array([ 4.67200929, -0.2362102 ])"
144,165,"array([ 4.68949726, -0.1802952 ])"
145,152,"array([ 4.65897171, -0.06809638])"
146,137,"array([5.28492387, 0.37347414])"
147,78,"array([5.31323487, 0.31426584])"
148,54,"array([4.71521424, 0.62340906])"
149,163,"array([4.7255797 , 0.55027148])"
150,118,"array([4.64523054, 0.61611685])"
151,55,"array([ 3.58985442, -0.14146295])"
152,66,"array([ 3.65829589, -0.19544754])"
153,57,"array([3.69761943, 0.09633999])"
154,69,"array([3.66704515, 0.16944963])"
155,59,"array([5.31257883, 1.24314581])"
156,97,"array([5.1737151 , 1.15673401])"
157,157,"array([5.2634292 , 1.17365944])"
158,166,"array([5.22576694, 1.24445675])"
159,155,"array([5.44053586, 1.3509385 ])"
160,124,"array([4.30748249, 0.05054573])"
161,112,"array([4.27889325, 0.11686134])"
162,71,"array([4.26947443, 1.56009779])"
163,144,"array([4.33506108, 1.54766707])"
164,100,"array([3.61185313, 0.75557902])"
165,150,"array([3.51117171, 0.77569547])"
166,175,"array([5.04422536, 1.20064364])"
167,75,"array([5.59200691, 0.62085257])"
168,126,"array([5.51916656, 0.67208292])"
169,108,"array([ 5.41633999, -0.16692275])"
170,84,"array([ 5.41818049, -0.09638003])"
171,132,"array([ 5.34326657, -0.14833055])"
172,80,"array([4.86574435, 1.70533497])"
173,86,"array([4.9037783 , 1.78474375])"
174,111,"array([3.56472771, 1.24479949])"
175,83,"array([3.38367855, 0.32486553])"
176,140,"array([3.41309281, 0.24053535])"
177,103,"array([4.81599945, 0.34433486])"
178,90,"array([5.06247122, 1.3570503 ])"
179,133,"array([4.82151125, 0.62775005])"
180,162,"array([5.46683626, 1.43570484])"
181,167,"array([5.53571255, 1.37559311])"
182,119,"array([3.91216184, 1.4800734 ])"
183,168,"array([4.00784824, 1.41268542])"
184,181,"array([3.98031639, 1.52390047])"
