# index, name, _pos
0,A1_ALPHA2,"array([ 45.96745352, -16.17602746])"
1,AAC1,"array([ 15.00529785, -19.79097362])"
2,AAC3,"array([-15.68007675, -50.9481002 ])"
3,ABF1,"array([ 10.28078119, -35.25864713])"
4,ACC1,"array([ 10.67763659, -27.19639373])"
5,ACE2,"array([  7.31726049, -25.30209349])"
6,ACO1,"array([-25.52142569, -35.71621089])"
7,ACS1,"array([ 22.93063599, -15.46958071])"
8,ACT1,"array([ 13.79128684, -15.11789456])"
9,ADE1,"array([ 12.98755762, -58.23367587])"
10,ADE12,"array([  4.56281774, -33.32455816])"
11,ADE13,"array([  8.02490209, -21.66806823])"
12,ADE17,"array([ 17.28627356, -17.17339278])"
13,ADE2,"array([-29.35196227, -14.0265118 ])"
14,ADE3,"array([ 20.67158609, -34.69495883])"
15,ADE4,"array([ 30.71120422, -38.23201148])"
16,ADE5,"array([ 20.06990183, -38.60350022])"
17,ADE6,"array([ 21.32332116, -37.96677469])"
18,ADE8,"array([ 21.51994663, -34.54640146])"
19,ADH1,"array([ 30.16110969, -39.41471342])"
20,ADH2,"array([ 25.56694447, -33.98061529])"
21,ADH4,"array([ 20.71932938, -33.67148181])"
22,ADK1,"array([ 31.70778209, -36.74653094])"
23,ADR1,"array([ 19.49273638, -33.30052184])"
24,AFR1,"array([  9.33305959, -22.51072549])"
25,AGA1,"array([ 14.48249831, -16.82161838])"
26,AHP1,"array([-12.81190221,  -5.71388491])"
27,ALD2,"array([ 21.91331619, -16.7891889 ])"
28,ALD3,"array([  9.13308887, -18.03048854])"
29,ALPHA1,"array([15.37815465, -8.54467824])"
30,ALPHA2,"array([14.41773462, -8.51150949])"
31,ANB1,"array([ -1.94737782, -19.93111779])"
32,APA1,"array([ 28.10253323, -52.03091843])"
33,ARA1,"array([  3.76388873, -19.64987541])"
34,ARG1,"array([  3.28463152, -23.37485317])"
35,ARG2,"array([22.22271343, 14.69063534])"
36,ARG3,"array([ 17.39733694, -22.13334202])"
37,ARG4,"array([ 16.58475713, -19.58545338])"
38,ARG5,"array([ 10.53519961, -25.06823573])"
39,ARG7,"array([-28.50940769,  -9.82158667])"
40,ARG8,"array([ -2.39781103, -28.17430864])"
41,ARO10,"array([  1.79186172, -22.56231852])"
42,ARO3,"array([ 20.12018249, -27.80729838])"
43,ARO4,"array([ 21.75711073, -30.95684651])"
44,ARO7,"array([ 20.83279508, -27.32251986])"
45,ARO80,"array([ 24.68793012, -32.2479684 ])"
46,ARO9,"array([ 19.83145649, -24.67944317])"
47,ASH1,"array([ 21.21419214, -32.67364818])"
48,ASN1,"array([ 19.41608423, -27.36791809])"
49,ASN2,"array([ -1.21111068, -60.37376102])"
50,ASP3A,"array([ 20.38563991, -53.95669985])"
51,ASP3B,"array([47.1547872 , -4.84777786])"
52,ASP3C,"array([ 22.79592671, -29.12034279])"
53,ASP3D,"array([ 22.5140602 , -30.23940779])"
54,ATX1,"array([ 20.2246734 , -32.48780641])"
55,BAP2,"array([47.15260962, -3.42957156])"
56,BAR1,"array([47.15618052, -1.96614808])"
57,BAS1,"array([ 5.37247108, 24.51163016])"
58,BNI5,"array([ 57.29975584, -23.34214916])"
59,CAF16,"array([49.00013562,  6.63102244])"
60,CAF4,"array([ 17.52795955, -13.40652926])"
61,CAN1,"array([-18.77303354,   0.68657527])"
62,CAR1,"array([ 13.28588043, -32.3614296 ])"
63,CAR2,"array([ 23.4145629 , -32.34360797])"
64,CAT2,"array([ 28.6026344 , -29.34618781])"
65,CAT5,"array([ 30.39500486, -25.40880137])"
66,CAT8,"array([ 29.92413339, -28.75225158])"
67,CBF1,"array([ 30.06353118, -24.05441375])"
68,CCC2,"array([51.6943551 ,  3.57794113])"
69,CCP1,"array([ 16.53112743, -54.71221679])"
70,CCR4,"array([-16.18526098, -30.07742241])"
71,CDC10,"array([ 43.73594613, -35.51856004])"
72,CDC11,"array([-29.54356045, -33.60151141])"
73,CDC19,"array([ 13.42865518, -16.28721276])"
74,CDC2,"array([ 29.45541393, -36.89923138])"
75,CDC21,"array([ 53.68168366, -10.19350701])"
76,CDC36,"array([ 12.94712704, -12.22906447])"
77,CDC39,"array([ 50.66920691, -21.33182261])"
78,CDC48,"array([ 46.04174477, -24.36050803])"
79,CDC5,"array([ 41.46737373, -50.82786978])"
80,CDC50,"array([-28.50645624, -27.49262324])"
81,CDC6,"array([ 12.16468953, -20.77623723])"
82,CDC8,"array([ 53.82326431, -27.60935426])"
83,CDC9,"array([ 12.88722594, -20.80063376])"
84,CDS1,"array([ 28.97608512, -25.87311047])"
85,CHA1,"array([ 15.23642467, -21.3348088 ])"
86,CHA4,"array([ 16.4640286, -17.4515373])"
87,CHO1,"array([ -2.39621605, -11.72085031])"
88,CHO2,"array([  2.39236596, -26.56648423])"
89,CHS1,"array([  5.15446047, -25.83464635])"
90,CIK1,"array([ 14.94257564, -32.28092167])"
91,CIN5,"array([-19.69823111, -28.11325171])"
